"time","y1","y2"
0.442,0.208798,0.420775
0.443,0.209551,0.422314
0.444,0.210302,0.423852
0.445,0.211052,0.425389
0.446,0.211801,0.426923
0.447,0.212549,0.428455
0.448,0.213296,0.429986
0.449,0.214042,0.431515
0.45,0.214787,0.433042
0.451,0.215531,0.434568
0.452,0.216274,0.436091
0.453,0.217016,0.437613
0.454,0.217757,0.439133
0.455,0.218497,0.440652
0.456,0.219236,0.442168
0.457,0.219974,0.443683
0.458,0.220711,0.445196
0.459,0.221447,0.446707
0.46,0.222182,0.448216
0.461,0.222916,0.449723
0.462,0.223649,0.451229
0.463,0.224381,0.452733
0.464,0.225112,0.454235
0.465,0.225842,0.455736
0.466,0.226571,0.457235
0.467,0.227299,0.458731
0.468,0.228026,0.460227
0.469,0.228752,0.46172
0.47,0.229477,0.463212
0.471,0.230201,0.464701
0.472,0.230924,0.466189
0.473,0.231646,0.467676
0.474,0.232367,0.46916
0.475,0.233087,0.470643
0.476,0.233806,0.472124
0.477,0.234523,0.473603
0.478,0.23524,0.475081
0.479,0.235956,0.476557
0.48,0.236671,0.478031
0.481,0.237385,0.479503
0.482,0.238098,0.480973
0.483,0.23881,0.482442
0.484,0.239521,0.483909
0.485,0.240231,0.485374
0.486,0.24094,0.486838
0.487,0.241649,0.4883
0.488,0.242356,0.48976
0.489,0.243062,0.491218
0.49,0.243767,0.492674
0.491,0.244471,0.494129
0.492,0.245174,0.495582
0.493,0.245876,0.497034
0.494,0.246577,0.498483
0.495,0.247277,0.499931
0.496,0.247977,0.501377
0.497,0.248675,0.502822
0.498,0.249372,0.504264
0.499,0.250068,0.505705
0.5,0.250764,0.507145
0.501,0.251458,0.508582
0.502,0.252151,0.510018
0.503,0.252843,0.511452
0.504,0.253535,0.512884
0.505,0.254225,0.514315
0.506,0.254915,0.515744
0.507,0.255603,0.517171
0.508,0.25629,0.518597
0.509,0.256977,0.520021
0.51,0.257662,0.521443
0.511,0.258347,0.522863
0.512,0.259031,0.524282
0.513,0.259713,0.525699
0.514,0.260395,0.527114
0.515,0.261075,0.528528
0.516,0.261755,0.529939
0.517,0.262434,0.53135
0.518,0.263112,0.532758
0.519,0.263788,0.534165
0.52,0.264464,0.53557
0.521,0.265139,0.536973
0.522,0.265813,0.538375
0.523,0.266486,0.539775
0.524,0.267158,0.541173
